Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
I,2.0,16.0,0,5,2200,3299
Kechaoda,0.03125,0.03125,0,0,850,875
Samsung,4.0,64.0,16,48,6000,15490
LG,6.0,128.0,8,16,3000,16999
Karbonn,0.03125,0.03125,0,0,1800,897
Muphone,0.03125,0.03125,0,1,1700,999
Micromax,0.03125,0.03125,0,1,1000,819
OPPO,6.0,128.0,16,48,4000,16990
Realme,6.0,64.0,25,16,4045,11999
Realme,6.0,128.0,25,16,4045,12999
Lenovo,4.0,64.0,16,13,4050,10999
Redmi,6.0,64.0,0,64,4500,15991
I,0.03125,0.0625,0,0,1500,739
Motorola,4.0,128.0,25,48,3500,13999
Lava,2.0,16.0,5,8,3380,5549
Realme,8.0,128.0,16,48,3765,17999
Micromax,0.03125,0.03125,0,1,1000,1020
Kekai,2.0,16.0,5,5,3200,4599
Itel,0.03125,0.03125,0,0,1000,730
Kechaoda,0.03125,0.03125,0,0,300,1249
Kechaoda,0.03125,0.03125,0,0,300,999
Itel,0.03125,0.03125,0,0,2500,983
BlackBear,0.03125,0.03125,0,0,1000,599
Kechaoda,0.03125,0.03125,0,0,850,1020
Kult,3.0,32.0,0,13,4000,5490
Kechaoda,0.03125,0.0625,0,0,400,949
Karbonn,0.03125,0.03125,0,0,1800,899
I,0.03125,0.0625,0,0,800,639
Samsung,6.0,128.0,10,16,3100,47990
Kechaoda,0.03125,0.03125,0,0,800,890
YUHO,4.0,32.0,0,13,3300,7199
Kechaoda,0.03125,0.03125,0,0,850,850
Blackbear,0.0625,0.0625,0,2,1000,599
GreenBerry,0.03125,0.0625,0,2,1000,549
OPPO,8.0,128.0,16,48,4000,21990
Samsung,8.0,128.0,10,64,4000,66999
Redmi,8.0,256.0,20,48,4000,27999
Peace,0.0625,0.25,0,0,850,540
Lava,1.0,16.0,2,5,2500,3899
Kechaoda,0.03125,0.03125,0,0,400,895
Lenovo,3.0,32.0,8,13,4000,7999
Kechaoda,0.03125,0.03125,0,2,600,1900
Micromax,0.125,0.03125,0,0,1800,1056
Lava,0.03125,0.03125,0,0,800,999
Vivo,8.0,128.0,8,12,4000,39990
LG,3.0,32.0,16,12,4000,8299
Realme,3.0,32.0,8,13,4230,9499
Karbonn,0.01171875,0.03125,0,0,1750,1129
Redmi,2.0,32.0,0,12,4000,7995
Samsung,6.0,128.0,32,64,4500,23499
Micromax,3.0,32.0,5,13,3000,4299
Vivo,6.0,64.0,32,16,4500,17990
Infinix,4.0,64.0,16,16,4000,9999
Itel,1.0,16.0,2,5,3020,3980
Samsung,6.0,64.0,25,25,4000,17999
Kechaoda,0.03125,0.03125,0,0,1000,1350
Vivo,6.0,64.0,32,12,4000,19990
LG,6.0,128.0,32,12,4000,49990
Lenovo,2.0,32.0,5,13,2300,17499
OPPO,2.0,16.0,8,13,3180,8990
Itel,0.03125,0.03125,0,0,1200,1325
Gionee,2.0,16.0,5,13,3000,5999
Vivo,6.0,64.0,25,12,3400,14990
Salora,0.03125,0.03125,0,1,2000,659
Kechaoda,0.03125,0.0625,0,0,1700,999
I,0.03125,0.0625,0,0,1000,1099
I,0.03125,0.0625,0,0,800,539
Honor,6.0,128.0,32,48,3750,21999
Nokia,3.0,32.0,8,13,3000,9499
Karbonn,0.01171875,0.01171875,0,0,800,1399
Good,0.03125,0.03125,0,0,1000,1499
Jmax,0.03125,0.03125,0,1,1050,999
Muphone,0.03125,0.03125,0,0,3800,1029
Micromax,0.03125,0.03125,0,2,1450,1340
OPPO,4.0,32.0,8,13,4230,11990
I,0.03125,0.0625,0,0,1000,739
Tork,0.03125,0.03125,0,0,1000,799
Samsung,4.0,64.0,0,13,5000,12920
Mymax,0.03125,0.03125,0,1,1000,899
Tecno,4.0,64.0,13,13,6000,10000
Nokia,0.00390625,0.00390625,0,1,800,1699
Tecno,4.0,64.0,13,13,6000,11999
Mymax,0.03125,0.03125,0,1,1000,565
Detel,0.03125,0.03125,0,0,1000,599
Easyfone,0.03125,0.03125,0,0,1000,2499
OPPO,6.0,128.0,16,48,4020,16990
Asus,8.0,256.0,8,12,3300,18999
Infinix,2.0,16.0,8,13,3050,3999
OnePlus,12.0,256.0,16,48,4000,51995
Itel,0.0078125,0.0078125,0,0,1900,1368
Honor,4.0,64.0,16,13,3000,8499
Micromax,1.0,8.0,2,5,2000,2799
Blackbear,0.0625,0.0625,0,1,1050,799
Nokia,3.0,32.0,5,13,4000,8999
