Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Original Price,Sale Price,Original Class,Sale Class
Nokia,3.0,32.0,8,13,3000,9499,9499,Budget,Budget
Karbonn,0.01171875,0.01171875,0,0,800,1399,1303,Low,Low
Good,0.03125,0.03125,0,0,1000,1499,1599,Low,Low
Jmax,0.03125,0.03125,0,1,1050,999,1199,Low,Low
Muphone,0.03125,0.03125,0,0,3800,1029,1029,Low,Low
Micromax,0.03125,0.03125,0,2,1450,1340,1390,Low,Low
OPPO,4.0,32.0,8,13,4230,11990,11990,Budget,Budget
I,0.03125,0.0625,0,0,1000,739,579,Low,Low
Tork,0.03125,0.03125,0,0,1000,799,799,Low,Low
Samsung,4.0,64.0,0,13,5000,12920,12920,Budget,Budget
Mymax,0.03125,0.03125,0,1,1000,899,899,Low,Low
Tecno,4.0,64.0,13,13,6000,10000,8499,Budget,Budget
Nokia,0.00390625,0.00390625,0,1,800,1699,1680,Low,Low
Tecno,4.0,64.0,13,13,6000,11999,11999,Budget,Budget
Mymax,0.03125,0.03125,0,1,1000,565,565,Low,Low
Detel,0.03125,0.03125,0,0,1000,599,599,Low,Low
Easyfone,0.03125,0.03125,0,0,1000,2499,2499,Low,Low
OPPO,6.0,128.0,16,48,4020,16990,16990,Mid-Range,Mid-Range
Asus,8.0,256.0,8,12,3300,18999,18999,Mid-Range,Mid-Range
Infinix,2.0,16.0,8,13,3050,3999,3999,Low,Low
OnePlus,12.0,256.0,16,48,4000,51995,63999,Premium,Premium
Itel,0.0078125,0.0078125,0,0,1900,1368,1368,Low,Low
Honor,4.0,64.0,16,13,3000,8499,8499,Budget,Budget
Micromax,1.0,8.0,2,5,2000,2799,2799,Low,Low
Blackbear,0.0625,0.0625,0,1,1050,799,749,Low,Low
Nokia,3.0,32.0,5,13,4000,8999,8999,Budget,Budget
Samsung,4.0,64.0,16,16,3300,26600,26600,Mid-Range,Mid-Range
Tecno,3.0,32.0,16,13,3750,6990,6990,Budget,Budget
Karbonn,0.0625,0.0625,0,0,1800,970,970,Low,Low
Infinix,4.0,64.0,13,13,4000,9999,9999,Budget,Budget
Samsung,4.0,128.0,16,25,4000,15999,15999,Mid-Range,Mid-Range
Panasonic,3.0,16.0,5,13,5000,8499,8499,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1750,1245,1245,Low,Low
Inovu,0.03125,0.03125,0,0,1000,649,649,Low,Low
Micromax,0.01953125,0.01953125,0,0,3000,1399,1480,Low,Low
Samsung,6.0,128.0,8,12,4000,67900,67900,Premium,Premium
Muphone,0.03125,0.0625,0,0,1700,1099,1099,Low,Low
Intex,0.03125,0.03125,0,0,1300,899,899,Low,Low
POCO,6.0,64.0,20,12,4000,19999,19999,Mid-Range,Mid-Range
Muphone,0.03125,0.03125,0,1,1700,1099,1099,Low,Low
Hicell,0.03125,0.0625,0,0,1050,539,539,Low,Low
Micromax,0.03125,0.03125,0,0,800,850,850,Low,Low
Ismart,2.0,32.0,5,8,3000,5299,4999,Budget,Low
I,0.03125,0.0625,0,0,800,1099,999,Low,Low
Panasonic,1.0,16.0,5,8,2200,5299,5299,Budget,Budget
InFocus,2.0,16.0,8,13,3000,4599,4438,Low,Low
XOLO,2.0,16.0,5,8,2500,6888,6888,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1000,829,829,Low,Low
Karbonn,0.03125,0.03125,0,1,1400,1331,1335,Low,Low
Samsung,4.0,64.0,16,25,4000,14999,14999,Budget,Budget
Micromax,0.03125,0.03125,0,0,2500,1299,1268,Low,Low
I,0.03125,0.0625,0,0,1000,999,999,Low,Low
Micromax,0.0546875,0.0390625,0,0,1000,799,799,Low,Low
InFocus,0.03125,0.03125,0,0,1000,899,787,Low,Low
Gamma,0.03125,0.03125,0,2,2200,1099,1099,Low,Low
Samsung,0.00390625,0.001953125,0,0,1000,2315,2315,Low,Low
Micromax,0.03125,0.03125,0,0,1450,1099,1099,Low,Low
Itel,0.03125,0.03125,0,0,1000,1070,1070,Low,Low
Karbonn,0.03125,0.03125,0,0,1450,949,949,Low,Low
Muphone,0.03125,0.03125,0,1,800,840,840,Low,Low
Itel,0.03125,0.03125,0,0,1200,1345,1345,Low,Low
Gionee,4.0,32.0,16,13,3030,6999,6999,Budget,Budget
Karbonn,1.0,8.0,0,5,2800,3299,3299,Low,Low
Tambo,0.0234375,0.0234375,0,0,1000,840,840,Low,Low
Kechaoda,0.03125,0.03125,0,0,800,899,850,Low,Low
Inovu,0.03125,0.03125,0,0,1000,599,599,Low,Low
Karbonn,0.03125,0.03125,0,0,800,739,739,Low,Low
Micromax,0.03125,0.03125,0,0,1450,1199,1165,Low,Low
OnePlus,8.0,256.0,16,48,4085,53380,53395,Premium,Premium
Redmi,3.0,32.0,5,13,4100,10999,10999,Budget,Budget
Gfive,0.0625,0.25,0,0,1050,649,649,Low,Low
I,0.03125,0.03125,0,0,800,1199,999,Low,Low
Lava,0.0625,0.5,0,0,1750,1504,1399,Low,Low
SSKY,0.03125,0.03125,0,1,2500,799,799,Low,Low
OPPO,8.0,256.0,16,48,4000,36990,36990,Premium,Premium
Infinix,3.0,32.0,16,13,4000,10999,10999,Budget,Budget
Blackbear,2.0,16.0,5,8,2500,4999,4999,Low,Low
Salora,0.03125,0.03125,0,1,1800,999,999,Low,Low
Itel,0.0078125,0.0078125,0,0,1900,1269,1269,Low,Low
InFocus,0.03125,0.03125,0,0,1000,1070,1070,Low,Low
Micromax,0.03125,0.03125,0,0,1750,890,1099,Low,Low
Karbonn,0.03125,0.03125,0,0,800,1190,1190,Low,Low
Karbonn,0.03125,0.03125,0,0,800,999,999,Low,Low
Salora,0.03125,0.03125,0,1,2700,1099,1099,Low,Low
Salora,0.03125,0.03125,0,1,1800,899,899,Low,Low
POCO,6.0,128.0,20,12,4000,14999,14999,Budget,Budget
