Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Prediction With Company,Price,Prediction Without Company
Krex,0.03125,0.03125,0,0,1000,1199,699,1199
Gionee,4.0,64.0,16,13,4010,4499,21499,6999
Muphone,0.03125,0.03125,0,0,3800,999,1029,3699
Muphone,0.03125,0.0625,0,0,1700,999,1099,999
Kechaoda,0.03125,0.0625,0,0,1700,999,999,999
I,4.0,64.0,5,8,3000,4499,4499,4499
Redmi,3.0,32.0,16,12,3080,14990,8999,6999
Micromax,0.03125,0.03125,0,0,1300,799,880,799
Tecno,4.0,64.0,13,13,6000,7999,11999,7999
Infinix,3.0,32.0,16,13,4000,6999,10999,6999
nuvo,0.5,4.0,1,3,1400,799,2483,799
Micromax,0.03125,0.03125,0,0,3000,999,999,999
Realme,3.0,32.0,5,12,5000,7999,6999,7999
Samsung,4.0,128.0,32,48,4000,23499,22450,23999
I,0.03125,0.03125,0,0,800,1199,899,599
Tecno,3.0,32.0,13,13,3500,15990,9999,6999
I,4.0,64.0,5,8,3000,4499,4499,4499
Niamia,0.03125,0.03125,0,0,1000,799,949,1199
Samsung,6.0,128.0,8,12,4000,4499,67900,4499
Mi,4.0,64.0,32,48,4030,23999,11999,23999
Redmi,6.0,128.0,0,64,4500,14999,16698,14999
I,4.0,64.0,5,8,3000,4499,4499,4499
I,2.0,16.0,0,5,2500,3699,3199,3699
Ssky,2.0,16.0,5,13,3000,8499,4999,6999
Good,0.03125,0.03125,0,0,1000,599,1499,1199
Redmi,3.0,32.0,5,13,3120,8499,6999,4499
Samsung,4.0,64.0,0,13,5000,3699,13899,3699
Intex,0.009765625,0.03125,0,0,1050,1199,790,799
OPPO,4.0,64.0,16,13,4230,6999,15999,6999
I,4.0,64.0,5,8,3000,4499,4499,4499
Blackbear,0.0625,0.0625,0,1,1450,599,1499,799
I,2.0,16.0,0,5,2800,3699,3699,3699
I,4.0,64.0,5,8,3000,4499,4499,4499
Yu,1.0,8.0,2,8,2000,799,4695,3199
Realme,2.0,16.0,5,13,4230,6999,6999,6999
Vivo,3.0,32.0,8,13,4030,7999,8490,6999
Muphone,0.03125,0.03125,0,1,1700,999,999,999
I,2.0,16.0,0,5,2500,3699,3199,3699
Micromax,3.0,32.0,5,13,3000,3199,4299,4499
Karbonn,0.03125,0.03125,0,0,1450,999,949,999
Peace,0.0625,0.25,0,0,850,799,540,1199
Jmax,0.03125,0.03125,0,1,1050,1199,999,799
GAMMA,0.03125,0.03125,0,0,1000,599,890,1199
Mafe,0.0625,0.0625,0,0,1800,999,1089,999
I,4.0,64.0,5,8,3000,4499,4499,4499
I,0.03125,0.0625,0,0,1000,1199,639,1199
Micromax,0.03125,0.03125,0,1,1000,799,1020,1199
Good,0.03125,0.03125,0,0,1000,599,1499,1199
Ssky,0.03125,0.03125,0,1,1800,999,1099,999
Gfive,0.03125,0.03125,0,0,1050,599,629,799
Tecno,2.0,16.0,0,13,3050,3199,6999,3699
I,2.0,16.0,0,5,2800,3699,3699,3699
Nokia,0.00390625,0.0078125,0,0,1020,799,1600,799
BlackZone,0.0625,0.0625,0,0,1800,599,799,999
Intex,0.009765625,0.009765625,0,0,1700,1199,1300,999
MTR,0.0625,0.0625,0,0,800,799,899,599
I,0.03125,0.0625,0,0,800,1199,1499,599
Kechaoda,0.03125,0.03125,0,0,850,1199,850,1199
Vivo,6.0,64.0,32,12,4000,15990,19990,15990
Samsung,4.0,64.0,0,13,5000,3699,12920,3699
Realme,6.0,64.0,16,64,4300,12999,16999,12999
Megus,0.03125,0.03125,0,1,2700,999,1099,999
Heemax,0.5,0.03125,0,0,1000,599,549,1199
MTR,0.0625,0.0625,0,0,800,799,999,599
Google,4.0,64.0,8,12,3000,4499,26999,4499
Karbonn,0.03125,0.03125,0,0,800,1199,1190,599
