Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
I Kall,2,16,0,5,2800,1,3599
Redmi,6,128,20,48,4000,1,24999
Kechaoda,32,32,0,0,800,0,837
ITEL,2,32,0,8,2400,1,4680
Apple,0,64,7,12,0,1,49900
Redmi,4,64,13,12,4000,1,11999
I Kall,2,16,0,5,2500,1,3199
Samsung,6,128,32,48,4000,1,23999
Realme,4,64,0,13,3500,1,10999
Micromax,32,32,0,0,1750,0,850
I Kall,4,32,0,5,3000,1,5699
Micromax,1,8,2,5,2000,1,3299
Apple,0,64,12,12,0,1,64900
Micromax,32,32,0,0,1750,0,798
Kechaoda,32,32,0,0,400,0,880
Vivo,6,128,32,48,3700,1,19990
I Kall,1,8,2,5,2200,1,3099
Micromax,32,32,0,0,2500,0,899
Karbonn,0,0,0,1,1750,0,1099
Karbonn,1,8,5,5,2300,1,3159
Lenovo,3,32,13,13,3000,1,5999
Nokia,4,4,0,1,800,0,1733
Apple,0,64,7,12,0,1,36999
OPPO,8,128,16,48,5000,1,18490
Redmi,4,64,32,12,4000,1,10445
Itel,32,32,0,0,1200,0,969
Lenovo,4,64,8,16,3760,1,6999
POCO,6,128,20,64,4500,1,16999
itel,32,32,0,0,2500,0,1149
Apple,0,64,7,12,0,1,49900
Redmi,6,64,20,12,4000,1,10999
Realme,12,256,16,64,4000,1,33999
Realme,8,128,16,64,4000,1,29999
Nokia,2,16,5,13,3000,1,5999
Vivo,2,16,5,8,4030,1,7600
Infinix,3,32,8,13,3050,1,4499
I Kall,32,64,0,0,1000,0,589
I Kall,32,64,0,0,1000,0,599
Realme,6,64,16,64,4000,1,27999
Redmi,3,32,5,12,4000,1,8099
Karbonn,0,0,0,2,1800,0,1129
Samsung,6,128,32,48,4000,1,19999
Gfive,32,0,0,0,1000,0,555
Motorola,4,128,25,48,3500,1,13999
Nokia,4,64,8,16,3500,1,12490
Kechaoda,32,32,0,0,1000,0,837
Realme,2,16,5,13,4000,1,5999
Samsung,6,64,25,25,4000,1,17999
Lava,32,32,0,1,1750,0,1420
Apple,0,32,7,12,0,1,34999
Karbonn,32,32,0,0,800,0,742
Micromax,32,32,0,0,1750,0,1050
Karbonn,12,32,0,0,1750,0,1099
Nokia,0,32,0,0,850,0,1092
Snexian,32,32,0,0,1000,0,1160
Samsung,6,128,32,48,4000,1,19999
OPPO,4,128,16,48,5000,1,15990
OPPO,4,128,16,48,5000,1,15990
Micromax,0,32,0,0,1300,0,989
Gfive,32,32,0,0,1000,0,639
Inovu,32,32,0,0,1000,0,649
Karbonn,32,32,0,0,800,0,700
Apple,0,64,7,12,0,1,49900
Karbonn,32,32,0,0,800,0,709
I Kall,32,64,0,0,1000,0,599
Intex,10,10,0,0,2200,0,1399
I Kall,4,64,5,8,3000,1,4499
Samsung,4,64,16,16,4000,1,13990
Karbonn,32,32,0,0,2700,0,950
OPPO,8,128,16,48,4000,1,21990
I Kall,2,16,0,5,2800,1,3599
Redmi,3,32,5,12,4000,1,8450
