Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Snexian,0,0,0,1,1000,0,628
OPPO,4,64,8,13,4230,1,9990
Micromax,0,0,0,2,1450,0,1390
Gionee,4,32,16,13,3030,1,6999
Mymax,0,0,0,1,1500,0,699
Infinix,4,64,13,13,4000,1,9999
Gfive,0,0,0,0,1800,0,699
Gfive,0,0,0,0,1050,0,675
Samsung,4,64,16,25,4000,1,14999
Samsung,6,128,0,32,3500,1,17299
Gfive,0,0,0,1,1800,0,699
Lava,0,0,0,0,1000,0,1129
SSKY,0,0,0,0,1000,0,699
OPPO,8,256,16,48,4000,1,25990
Micromax,0,0,0,0,3000,0,1478
Motorola,4,128,25,48,3500,1,13999
Good,0,0,0,0,1000,0,1449
I,0,0,0,0,800,0,499
LG,4,64,0,16,4000,1,12198
Kechaoda,0,0,0,0,3600,0,1337
Gfive,0,0,0,1,1050,0,649
Kechaoda,0,0,0,0,800,0,850
Inovu,0,0,0,0,1000,0,599
Samsung,0,0,0,0,800,0,1630
Micromax,0,0,0,0,1450,0,1099
OPPO,4,64,8,13,4230,1,9990
Snexian,0,0,0,1,1000,0,628
Kechaoda,0,0,0,0,3600,0,1337
Honor,4,64,16,13,3000,1,8499
Honor,4,128,16,13,3000,1,8999
Gfive,0,0,0,0,1800,0,699
Lava,2,16,5,8,3380,1,5549
OPPO,4,64,8,13,3180,1,13990
Micromax,0,0,0,0,3000,0,1195
Itel,0,0,0,0,1200,0,1325
JIVI,0,0,0,0,3600,0,1269
Gfive,0,0,0,1,1800,0,699
Gfive,0,0,0,0,1050,0,675
Nokia,6,64,20,48,3500,1,17099
Redmi,6,64,20,12,4000,1,13999
Good,0,0,0,0,1000,0,1449
Samsung,4,64,8,13,4000,1,12999
OPPO,8,256,16,48,4000,1,25990
Forme,0,0,0,1,1800,0,860
Vivo,4,32,24,16,3000,1,18990
Micromax,0,0,0,0,3000,0,1480
Samsung,6,128,32,32,4500,1,22990
Samsung,6,64,25,25,4000,1,17999
OnePlus,8,256,16,48,4000,1,47999
POCO,8,256,20,64,4500,1,19999
InFocus,4,64,8,13,3000,1,6150
Samsung,6,128,32,64,4500,1,25999
Karbonn,0,0,0,0,800,0,739
Blackbear,0,0,0,0,1850,0,999
Micromax,1,8,0,5,1600,1,4490
I,0,0,0,0,1000,0,489
YUHO,2,16,0,8,2750,1,4399
Apple,0,64,7,12,0,1,36999
I,0,0,0,0,1000,0,999
Blackbear,0,0,0,0,1500,0,1290
Kechaoda,0,0,0,0,1700,0,999
Itel,1,16,2,5,3020,1,3980
Muphone,0,0,0,1,800,0,829
Inovu,0,0,0,0,1000,0,649
Redmi,8,256,20,48,4000,1,27999
Honor,6,64,16,20,3750,1,11999
I,0,0,0,0,1500,0,499
Muphone,0,0,0,1,800,0,899
Karbonn,0,0,0,0,2700,0,1190
Honor,4,64,8,13,3000,1,11900
Snexian,0,0,0,1,1000,0,628
I,0,0,0,0,800,0,489
Itel,1,16,2,5,3020,1,3980
JIVI,0,0,0,0,800,0,710
ITEL,0,0,0,0,1900,0,1375
OPPO,3,64,16,13,4230,1,11988
Gfive,0,0,0,0,1800,0,699
Samsung,6,128,8,12,4000,1,67900
Jmax,0,0,0,1,1050,0,1199
Jmax,0,0,0,1,1050,0,1199
Gfive,0,0,0,1,1800,0,699
Jmax,0,0,0,1,1050,0,1199
Jmax,0,0,0,1,1050,0,1199
Jmax,0,0,0,1,1050,0,1199
Jmax,0,0,0,1,1050,0,1199
InFocus,0,0,0,0,1800,0,999
Good,0,0,0,0,1000,0,1449
I,0,0,0,0,1000,0,1099
Jmax,0,0,0,1,1050,0,1199
I,0,0,0,0,1000,0,1199
Gfive,0,0,0,1,1050,0,649
Jmax,0,0,0,1,1050,0,1199
Karbonn,0,0,0,0,1800,0,899
Apple,0,512,12,12,0,1,131900
Tecno,2,32,16,13,3500,1,8999
Kechaoda,0,0,0,0,800,0,832
Snexian,0,0,0,1,1000,0,628
Kechaoda,0,0,0,0,800,0,880
Jivi,0,0,0,0,2750,0,925
Honor,3,32,13,13,3000,1,7999
Gfive,0,0,0,0,1800,0,699
Easyfone,0,0,0,2,1050,0,3499
I,0,0,0,0,1000,0,1199
I,0,0,0,0,1000,0,599
I,0,0,0,0,1000,0,1199
I,0,0,0,0,1000,0,1099
Gfive,0,0,0,1,1800,0,699
Mi,6,128,20,20,3010,1,15999
ROKEA,0,0,0,0,800,0,899
Ssky,0,0,0,0,1000,0,699
Good,0,0,0,0,1000,0,1449
Karbonn,0,0,0,0,1900,0,989
Muphone,0,0,0,1,2400,0,949
Gfive,0,0,0,0,1050,0,649
I,0,0,0,0,800,0,489
Jivi,0,0,0,0,1000,0,799
Gfive,0,0,0,1,1050,0,649
Jmax,0,0,0,1,1050,0,1199
Jmax,0,0,0,1,1050,0,1199
Itel,1,8,2,5,4000,1,3990
Snexian,0,0,0,1,1000,0,628
Redmi,6,64,20,12,4000,1,13999
Kechaoda,0,0,0,0,800,0,850
Samsung,4,64,0,48,6000,1,14290
Kechaoda,0,0,0,0,800,0,850
Tashan,2,16,0,8,2750,1,3999
Gfive,0,0,0,0,1800,0,699
Mi,2,16,5,13,3030,1,12999
Apple,0,64,7,12,0,1,69999
I,0,0,0,0,1000,0,999
Gfive,0,0,0,1,1800,0,699
Blackbear,1,8,5,8,2400,1,3749
Hicell,0,0,0,0,1050,0,499
Jivi,0,0,0,1,1750,0,1069
ROKEA,0,0,0,0,800,0,899
Karbonn,0,0,0,0,1750,0,769
Good,0,0,0,0,1000,0,1449
Bloom,0,0,0,0,1000,0,699
Gfive,0,0,0,0,1050,0,649
Apple,0,512,12,12,0,1,131900
Gfive,0,0,0,1,1050,0,649
Samsung,3,32,8,13,4000,1,10999
Peace,0,0,0,0,850,0,574
Peace,0,0,0,0,850,0,575
Peace,0,0,0,0,850,0,599
Karbonn,0,0,0,0,1000,0,839
Snexian,0,0,0,1,1000,0,628
Muphone,0,0,0,0,3800,0,1029
Muphone,0,0,0,0,3800,0,1029
I,0,0,0,0,800,0,999
Gfive,0,0,0,0,1800,0,699
InFocus,0,0,0,0,2500,0,1180
SSKY,0,0,0,1,2500,0,799
Muphone,0,0,0,1,1700,0,999
Apple,0,64,7,12,0,1,76000
Black,12,256,20,48,4000,1,39999
Gfive,0,0,0,1,1800,0,699
Moto,4,64,8,13,3000,1,14999
Muphone,0,0,0,1,800,0,829
Yu,2,16,5,13,2500,1,4499
Good,0,0,0,0,1000,0,1449
Karbonn,0,0,0,0,1000,0,849
Itel,0,0,0,0,2500,0,985
Jivi,0,0,0,0,1000,0,885
Muphone,0,0,0,1,800,0,829
Samsung,4,64,16,48,6000,1,14990
Snexian,0,0,0,1,1000,0,628
Karbonn,1,4,2,13,1800,0,14990
Karbonn,1,4,2,13,1800,0,13298
Tork,0,0,0,0,2800,0,949
Yuho,3,32,13,13,3000,1,6590
Samsung,8,128,10,64,4000,1,66999
Gfive,0,0,0,0,1800,0,699
OPPO,8,256,16,48,4000,1,36990
Muphone,0,0,0,0,2400,0,979
Realme,2,32,5,13,4230,1,7499
Gfive,0,0,0,1,1800,0,699
Apple,0,64,12,12,0,1,109900
Muphone,0,0,0,1,800,0,840
Muphone,0,0,0,1,800,0,899
Salora,0,0,0,1,2000,0,659
Muphone,0,0,0,1,800,0,840
Good,0,0,0,0,1000,0,1449
Winstar,0,0,0,0,1500,0,999
Apple,0,256,7,12,0,1,84900
I,0,0,0,0,800,0,599
Gfive,0,0,0,1,1050,0,649
Salora,0,0,0,1,1200,0,1299
Blackbear,0,0,0,1,1450,0,610
Lava,1,16,2,5,2500,1,3999
Karbonn,0,0,0,1,1800,0,1099
Forme,0,0,0,0,850,0,599
Snexian,0,0,0,1,1000,0,628
Samsung,8,128,10,64,4500,1,73999
Karbonn,0,0,0,0,1750,0,949
Peace,0,0,0,0,850,0,540
Gfive,0,0,0,0,1800,0,699
Redmi,6,64,20,48,4000,1,19999
Micromax,0,0,0,0,800,0,950
VIVO,4,32,0,16,3260,1,11890
EcoTel,0,0,0,0,1000,0,599
Apple,0,512,7,12,0,1,134900
Gfive,0,0,0,1,1800,0,699
Gfive,0,0,0,0,1050,0,625
Lava,3,32,8,13,3000,1,7999
I,0,0,0,0,1500,0,1199
Good,0,0,0,0,1000,0,1449
Tecno,4,64,16,13,3500,1,9899
Itel,0,0,0,0,1200,0,995
Itel,1,16,2,5,3020,1,3999
Gfive,0,0,0,0,1050,0,1199
OPPO,8,128,0,16,3500,1,21499
Gfive,0,0,0,1,1050,0,649
GreenBerry,0,0,0,2,1000,0,599
I,0,0,0,0,1500,0,999
Redmi,3,32,5,12,4000,1,10999
Snexian,0,0,0,1,1000,0,628
Lenovo,3,32,8,13,4000,1,7999
Samsung,6,128,32,48,4000,1,19999
Gfive,0,0,0,0,1050,0,625
Alcatel,3,32,0,16,4000,1,12999
MI3,2,16,2,13,3050,0,13999
Gfive,0,0,0,0,1800,0,699
Asus,8,256,8,12,3300,1,21999
Blackbear,0,0,0,1,2800,0,1079
