Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Samsung,8.0,128.0,10,64,4500,1,73999
I,4.0,64.0,5,8,3000,1,4499
Apple,,128.0,12,12,0,1,69900
Redmi,6.0,64.0,0,64,4500,1,15991
Samsung,,,0,0,800,0,1565
Gfive,0.03125,0.03125,0,1,1000,0,899
Vivo,6.0,128.0,32,48,3700,1,19990
I,2.0,16.0,0,5,2800,1,3749
I,0.03125,0.0625,0,0,1500,0,739
Redmi,6.0,128.0,20,48,4000,1,23999
Motorola,4.0,128.0,25,48,3500,1,13999
I,4.0,64.0,5,8,3000,1,4499
Lava,2.0,16.0,5,8,3380,1,5549
Realme,8.0,128.0,16,48,3765,1,17999
Realme,8.0,128.0,16,48,3765,1,17999
Micromax,0.03125,0.03125,0,1,1000,0,1020
Kekai,2.0,16.0,5,5,3200,1,4599
I,2.0,16.0,0,5,2500,1,3199
Itel,0.03125,0.03125,0,0,1000,0,730
I,0.03125,0.0625,0,0,1500,0,739
Kechaoda,0.03125,0.03125,0,0,300,0,1249
I,2.0,16.0,0,5,2800,1,3699
Kechaoda,0.03125,0.03125,0,0,300,0,999
Muphone,0.03125,0.03125,0,1,1700,0,999
Apple,,64.0,7,12,0,1,49900
Itel,0.03125,0.03125,0,0,2500,0,983
BlackBear,0.03125,0.03125,0,0,1000,0,599
I,4.0,64.0,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,850,0,1020
I,0.03125,0.0625,0,0,1000,0,1199
Kult,3.0,32.0,0,13,4000,1,5490
I,2.0,16.0,0,5,2800,1,3749
Kechaoda,0.03125,0.0625,0,0,400,0,949
Karbonn,0.03125,0.03125,0,0,1800,0,899
Lava,2.0,16.0,5,8,3380,1,5549
Apple,,64.0,7,12,0,1,49900
Micromax,0.0546875,,0,0,4000,0,1599
I,4.0,64.0,5,8,3000,1,4499
I,0.03125,0.0625,0,0,800,0,639
Samsung,6.0,128.0,10,16,3100,1,47990
Kechaoda,0.03125,0.03125,0,0,800,0,890
I,2.0,16.0,0,5,2500,1,3199
YUHO,4.0,32.0,0,13,3300,1,7199
Kechaoda,0.03125,0.03125,0,0,850,0,850
Blackbear,0.0625,0.0625,0,2,1000,0,599
GreenBerry,0.03125,0.0625,0,2,1000,0,549
OPPO,8.0,128.0,16,48,4000,1,21990
I,2.0,16.0,0,5,2800,1,3699
Samsung,8.0,128.0,10,64,4000,1,66999
Redmi,8.0,256.0,20,48,4000,1,27999
Peace,0.0625,0.25,0,0,850,0,540
I,4.0,64.0,5,8,3000,1,4499
Lava,1.0,16.0,2,5,2500,1,3899
Kechaoda,0.03125,0.03125,0,0,400,0,895
