Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Jmax,0.03125,0.03125,0,1,1000,0,635
I,2,16,0,5,2800,1,3699
Jmax,0.03125,0.03125,0,1,1000,0,635
OPPO,8,128,44,64,4025,1,29990
Kechaoda,0.03125,0.03125,0,0,850,0,910
I,2,16,0,5,2500,1,2999
Karbonn,1,8,5,5,2300,1,3099
Ismart,2,32,5,8,3000,1,4999
Samsung,8,128,10,64,4500,1,73999
Karbonn,0.03125,0.03125,0,0,1000,0,899
Lava,0.00390625,0.002929688,0,0,800,0,879
I,4,64,5,8,3000,1,4499
Redmi,3,32,5,13,3120,1,6999
EcoTel,0.03125,0.0625,0,0,1000,0,599
EcoTel,0.03125,0.0625,0,0,1000,0,599
I,2,16,0,5,2800,1,4399
Lava,0.03125,,0,0,600,0,621
Realme,6,64,16,16,3500,1,10999
Blackbear,0.0625,0.0625,0,1,1450,0,610
Motorola,6,128,5,16,2510,1,124999
iQOO,8,256,16,48,4440,1,39990
I,4,64,5,8,3000,1,4499
iQOO,8,256,16,48,4440,1,39990
iQOO,8,128,16,48,4440,1,36990
OPPO,3,32,8,13,4230,1,7490
I,2,16,0,5,2500,1,2999
Jmax,0.03125,0.03125,0,1,1050,0,635
Jmax,0.03125,0.03125,0,1,1050,0,635
Apple,,64,12,12,0,1,64900
Apple,,64,7,12,0,1,49900
XOLO,2,16,5,8,3000,1,3699
I,4,64,5,8,3000,1,4499
Nokia,,0.03125,0,0,850,0,1099
Lava,1,16,5,8,3000,1,4699
I,2,16,0,5,2200,1,3499
I,2,16,0,5,2800,1,4399
Kechaoda,0.03125,0.03125,0,0,850,0,875
Samsung,4,64,16,48,6000,1,14190
Samsung,8,128,10,64,4500,1,73999
LG,6,128,8,16,3000,1,16999
Karbonn,0.03125,0.03125,0,0,1800,0,897
I,4,64,5,8,3000,1,4499
Muphone,0.03125,0.03125,0,1,1700,0,999
Micromax,0.03125,0.03125,0,1,1000,0,825
OPPO,6,128,16,48,4000,1,16990
I,2,16,0,5,2500,1,2999
Realme,6,64,25,16,4045,1,11999
Apple,,128,7,12,0,1,54900
Realme,6,128,25,16,4045,1,12999
Samsung,6,128,32,48,4000,1,23999
Apple,,128,7,12,0,1,54900
I,2,16,0,5,2800,1,3699
I,0.03125,0.0625,0,0,1000,0,479
Lenovo,4,64,16,13,4050,1,8499
Samsung,8,128,10,64,4500,1,73999
I,4,64,5,8,3000,1,4499
Apple,,128,12,12,0,1,69900
Redmi,6,64,0,64,4500,1,15298
Samsung,,,0,0,800,0,1565
Gfive,0.03125,0.03125,0,1,1000,0,899
Vivo,6,128,32,48,3700,1,19990
I,2,16,0,5,2800,1,4399
I,0.03125,0.0625,0,0,1500,0,579
Redmi,6,128,20,48,4000,1,23999
Motorola,4,128,25,48,3500,1,12999
I,4,64,5,8,3000,1,4499
Lava,2,16,5,8,3380,1,5549
Realme,8,128,16,48,3765,1,16999
Realme,8,128,16,48,3765,1,16999
Micromax,0.03125,0.03125,0,1,1000,0,1020
Kekai,2,16,5,5,3200,1,3988
I,2,16,0,5,2500,1,2999
Itel,0.03125,0.03125,0,0,1000,0,730
I,0.03125,0.0625,0,0,1500,0,579
