RAM,Storage,Front Camera,Back Camera,Battery Capacity,Company,Price,Prediction
2.0,32.0,5,13,4900,Lenovo,15999,6999
6.0,64.0,20,48,3500,Nokia,17099,12999
0.00390625,0.0029296875,0,0,800,Lava,879,599
2.0,16.0,0,5,2500,I,3199,3199
2.0,16.0,0,5,2800,I,3699,3749
0.03125,0.0625,0,0,1000,EcoTel,599,999
0.0009765625,0.015625,0,0,1000,Jivi,719,999
2.0,16.0,0,5,2500,I,3199,3199
0.03125,0.03125,0,0,1800,Karbonn,899,999
4.0,64.0,0,16,4000,LG,12990,3749
0.00390625,0.00390625,0,0,800,Nokia,1245,599
0.03125,0.0625,0,0,1050,Hicell,499,999
6.0,64.0,20,48,4000,Redmi,19999,12999
4.0,64.0,0,48,6000,Samsung,14999,6999
3.0,32.0,13,12,5000,Realme,8499,6999
3.0,64.0,8,13,5000,Vivo,9490,7999
0.03125,0.03125,0,1,800,Micromax,707,599
0.03125,0.03125,0,0,1000,Shomi,799,999
0.03125,0.03125,0,0,800,Karbonn,717,599
4.0,64.0,16,64,4300,Realme,12999,12999
2.0,16.0,0,5,2500,I,3199,3199
3.0,32.0,13,13,3500,Tecno,9999,6999
0.03125,0.0625,0,0,1500,I,1299,999
0.03125,0.03125,0,1,1000,Micromax,819,599
1.0,16.0,2,5,2500,Lava,3899,999
0.03125,0.03125,0,0,1000,Itel,1000,999
1.0,8.0,2,5,2000,Micromax,2799,999
0.0009765625,0.0009765625,0,0,4000,Kara,799,999
0.03125,0.03125,0,0,1200,SSKY,2898,999
0.03125,0.0625,0,0,1700,Muphone,1099,999
0.0625,0.0625,0,0,800,MTR,625,599
2.0,16.0,0,5,2800,I,3699,3749
8.0,256.0,8,12,3300,Asus,18999,4499
1.0,8.0,2,5,2400,Itel,5447,999
0.03125,0.0625,0,0,1800,Gfive,799,999
4.0,128.0,16,25,4000,Samsung,15999,14999
4.0,64.0,5,8,3000,I,4499,4499
6.0,64.0,13,48,4000,Redmi,10999,12999
2.0,16.0,0,5,2200,I,3299,3199
